# records failing a gate bin/corpus_monitor.py ALREADY defines
# G2b : integral outside [0.6, 1.5]        (corpus_monitor.py:60 INT_LO/INT_HI)
# G3b : peak/Kljun-peak outside [0.4, 2.5] (the project's own peak test)
#
# NEITHER IS AN EXCLUSION RULE. Both are per-case pipeline sanity checks
# calibrated on a handful of validation cases; an LES peak far from Kljun's may
# be the signal. Use these to ablate, not to filter by default.
#
# tag	split	flags	integral	peak_over_kljun	h_m
case_2023042106	train	G3b	0.990	2.84	405
case_2023051414	train	G2b	1.798	1.15	823
case_2023060617	train	G2b	1.556	1.03	739
case_2023061621	train	G2b	1.656	1.02	891
case_2023080221	train	G3b	1.299	3.36	1089
case_2023080417	train	G2b	1.605	1.19	1089
case_2023080617	train	G2b	1.576	1.41	1116
case_2023080716	train	G2b	1.561	1.21	937
case_2023081621	train	G3b	1.085	2.89	1063
case_2023081710	train	G3b	1.076	2.68	462
case_2023082220	train	G3b	1.001	3.25	1089
case_2023082315	train	G3b	0.890	3.29	625
case_2023082418	train	G3b	1.134	3.37	845
case_2023083021	train	G2b	1.602	1.18	986
case_2023090319	train	G3b	1.410	3.42	868
case_2023092707	train	G3b	1.066	10.98	802
case_2023092920	train	G3b	0.926	2.79	1063
case_2023110121	train	G3b	1.280	2.98	914
case_2023110216	train	G3b	1.093	3.09	739
case_2023110619	train	G3b	1.492	3.16	1089
case_2023110917	train	G3b	1.327	2.72	462
case_2023112611	train	G2b,G3b	1.610	2.87	625
case_2023113019	train	G2b,G3b	1.585	3.00	760
case_2023120718	train	G2b	1.634	1.33	868
case_2023120919	train	G3b	1.038	2.80	914
case_2023121320	train	G3b	1.148	2.84	868
case_2023121418	train	G3b	1.260	3.02	781
case_2023121717	train	G3b	1.098	2.84	760
case_2023122219	train	G2b	0.556	1.99	625
case_2023122320	train	G3b	1.248	2.56	643
case_2024020311	val	G2b	0.596	1.95	739
case_2024020621	val	G3b	1.260	2.66	802
case_2024020918	val	G3b	1.364	2.78	914
case_2024021422	val	G3b	1.071	2.72	700
case_2024022418	val	G3b	0.669	3.25	802
case_2024022516	val	G3b	1.256	2.97	760
case_2024022719	val	G2b,G3b	1.874	3.17	986
case_2024031121	val	G3b	1.353	2.92	1011
case_2024031222	val	G2b,G3b	1.575	2.82	1116
case_2024031515	val	G2b	1.709	1.12	781
case_2024031914	val	G3b	1.261	2.60	304
case_2024032623	val	G2b,G3b	1.641	2.80	845
case_2024050213	val	G2b	1.641	1.42	802
case_2024050319	val	G2b	1.507	1.17	1259
case_2024050421	val	G3b	1.008	2.79	937
case_2024050722	val	G2b,G3b	1.584	2.88	823
case_2024051319	val	G3b	1.117	3.07	1011
case_2024052213	val	G3b	1.457	2.74	643
case_2024060513	val	G2b,G3b	1.762	2.81	643
case_2024062023	val	G3b	0.917	3.08	700
case_2024062116	val	G2b	1.715	1.19	700
case_2024062421	val	G3b	1.189	3.08	1063
case_2024070418	val	G3b	1.110	2.93	1289
case_2024070818	val	G3b	1.267	3.30	1089
case_2024071422	val	G3b	1.307	3.08	1037
case_2024071521	val	G3b	1.203	3.29	1063
case_2024073021	val	G3b	0.806	3.20	1089
case_2024080119	val	G3b	1.206	3.30	823
case_2024080818	val	G3b	0.902	2.69	986
case_2024081623	val	G2b	1.607	1.40	681
case_2024082318	val	G3b	1.029	2.95	1116
case_2024090716	val	G2b	1.957	1.12	1172
case_2024091021	val	G3b	1.485	3.10	823
case_2024100221	val	G3b	0.970	2.96	1063
case_2024101119	val	G3b	1.344	3.12	823
case_2024101920	val	G3b	1.191	3.06	868
case_2024102015	val	G3b	0.909	2.96	607
case_2024102720	val	G3b	1.209	3.00	1116
case_2024111719	val	G3b	1.162	2.63	781
case_2024112416	val	G2b	0.593	1.41	986
case_2024120320	val	G3b	0.987	2.91	868
case_2024120620	val	G2b,G3b	1.651	2.88	681
case_2024120719	val	G3b	1.211	2.62	739
case_2024120920	val	G3b	1.378	2.94	462
case_2024122316	val	G2b,G3b	1.753	2.85	662
case_2024122819	val	G3b	1.173	2.86	760
case_2024123020	val	G3b	0.853	2.97	781
case_2025011217	test	G3b	1.127	2.68	492
case_2025011314	test	G3b	1.386	4.14	236
case_2025011606	test	G3b	1.172	2.52	205
case_2025012219	test	G3b	1.012	2.64	739
case_2025012419	test	G3b	1.097	3.25	739
case_2025012718	test	G3b	1.389	2.86	540
case_2025013021	test	G3b	1.134	2.91	802
case_2025013118	test	G2b	1.542	1.23	823
case_2025020616	test	G3b	1.363	2.89	448
case_2025021820	test	G2b	1.554	1.11	1063
case_2025022318	test	G2b,G3b	1.736	2.92	625
case_2025022419	test	G3b	1.089	2.87	700
case_2025022822	test	G3b	1.435	2.90	508
case_2025030719	test	G2b	1.531	1.28	781
case_2025031021	test	G3b	0.787	2.71	1289
case_2025031521	test	G3b	1.146	2.60	1011
case_2025040313	test	G3b	1.210	2.86	845
case_2025041217	test	G3b	1.076	3.15	1259
case_2025042322	test	G3b	0.917	2.68	1116
case_2025050220	test	G3b	0.882	3.08	1011
case_2025060220	test	G2b,G3b	1.631	3.22	1089
case_2025062021	test	G3b	0.790	3.07	1063
case_2025062317	test	G3b	1.299	3.28	1116
case_2025062416	test	G3b	0.979	3.12	700
case_2025062819	test	G3b	0.965	3.10	1116
case_2025062922	test	G2b	0.592	1.56	962
case_2025063001	test	G2b	1.549	1.09	781
case_2025071822	test	G3b	1.230	3.09	1089
case_2025072313	test	G3b	0.919	3.00	590
case_2025081720	test	G2b	1.651	1.41	868
case_2025090821	test	G3b	1.361	2.98	1063
case_2025090922	test	G3b	1.296	2.91	1089
case_2025092118	test	G3b	1.145	3.15	1144
case_2025092818	test	G3b	1.381	3.13	1116
case_2025101317	test	G3b	0.960	3.36	681
case_2025102119	test	G3b	1.197	2.88	1259
case_2025103120	test	G3b	1.291	3.02	1116
case_2025111119	test	G3b	1.251	3.13	962
case_2025112018	test	G3b	1.405	2.70	823
case_2025112422	test	G3b	1.360	2.75	681
case_2025112520	test	G2b,G3b	1.634	3.02	781
case_2025120119	test	G2b	0.599	1.58	379
case_2025120419	test	G3b	1.338	2.97	405
case_2025120620	test	G3b	1.316	2.99	802
case_2025121819	test	G3b	1.482	2.94	719
case_2026022421	train	G3b	1.240	2.96	823
case_2026040219	train	G2b	0.592	2.10	868
case_2026040308	train	G3b	0.995	2.73	643
case_2026040916	train	G3b	1.208	3.10	1037
case_2026042021	train	G3b	1.485	2.98	1116
case_2026042407	train	G3b	0.861	2.52	607
case_2026042812	train	G3b	0.737	4.44	662
case_2026061017	train	G3b	0.917	2.90	1063
